자치구 기준일,종로구 전체,종로구 추가,중구 전체,중구 추가,용산구 전체,용산구 추가,성동구 전체,성동구 추가,광진구 전체,광진구 추가,동대문구 전체,동대문구 추가,중랑구 전체,중랑구 추가,성북구 전체,성북구 추가,강북구 전체,강북구 추가,도봉구 전체,도봉구 추가,노원구 전체,노원구 추가,은평구 전체,은평구 추가,서대문구 전체,서대문구 추가,마포구 전체,마포구 추가,양천구 전체,양천구 추가,강서구 전체,강서구 추가,구로구 전체,구로구 추가,금천구 전체,금천구 추가,영등포구 전체,영등포구 추가,동작구 전체,동작구 추가,관악구 전체,관악구 추가,서초구 전체,서추구 추가,강남구 전체,강남구 추가,송파구 전체,송파구 추가,강동구 전체,강동구 추가,기타 전체,기타 추가,수집일
2021.05.22.00,739,3,651,5,1097,5,1147,6,1378,15,1593,7,1890,10,1763,6,1196,5,1340,6,1934,12,1882,11,1025,6,1332,10,1510,6,2140,9,1437,1,668,6,1564,8,1774,5,1980,4,1774,9,2330,15,2424,18,1636,10,4077,10,11:40.0
2021.05.21.00,737,0,646,1,1092,5,1142,4,1363,10,1586,7,1880,10,1757,5,1184,8,1350,2,1922,13,1871,5,1019,4,1322,8,1504,7,2131,5,1436,3,662,6,1556,8,1769,4,1976,4,1762,3,2320,12,2405,20,1624,10,4057,8,11:40.0
2021.05.20.00,737,3,645,4,1087,3,1138,5,1354,7,1579,19,1870,7,1752,14,1176,2,1348,7,1909,11,1866,7,1015,11,1314,3,1497,5,2126,13,1433,11,657,7,1547,12,1765,7,1972,11,1759,6,2308,25,2384,24,1614,13,4049,5,11:40.0
2021.05.19.00,734,6,641,5,1084,3,1133,5,1347,5,1560,5,1863,10,1738,8,1174,7,1341,9,1898,10,1859,8,1004,5,1311,11,1492,10,2113,10,1422,12,650,5,1535,12,1758,11,1961,9,1753,9,2283,32,2360,17,1601,13,4044,12,11:39.0
2021.05.18.00,728,4,637,2,1081,4,1128,2,1342,9,1554,7,1853,3,1730,8,1168,14,1332,9,1889,9,1851,7,999,1,1300,3,1482,4,2103,5,1410,7,645,2,1523,8,1747,4,1952,6,1744,6,2251,15,2343,12,1588,12,4030,9,11:39.0
2021.05.17.00,724,2,635,1,1077,2,1126,6,1333,10,1547,8,1850,8,1721,11,1155,8,1323,7,1880,14,1844,4,998,9,1297,6,1478,7,2098,3,1403,14,643,1,1515,7,1743,13,1946,7,1738,3,2235,13,2332,12,1576,17,4021,2,11:39.0
2021.05.16.00,722,6,634,4,1075,2,1120,3,1325,8,1539,6,1842,12,1710,14,1147,8,1316,10,1866,14,1840,7,989,10,1291,2,1471,8,2095,7,1389,5,642,4,1508,11,1730,6,1939,7,1735,6,2221,29,2320,7,1558,9,4019,8,11:39.0
2021.05.15.00,716,5,630,1,1073,7,1118,3,1317,3,1534,9,1830,17,1696,12,1139,16,1306,17,1852,19,1833,8,979,3,1290,7,1463,2,2088,8,1384,14,638,7,1497,17,1724,8,1931,13,1729,9,2192,16,2313,13,1549,6,4009,14,11:39.0
2021.05.14.00,711,1,629,2,1066,4,1115,7,1314,2,1525,8,1813,7,1684,10,1123,19,1289,12,1833,20,1825,3,976,5,1283,6,1461,4,2080,8,1370,6,631,4,1480,8,1716,8,1918,17,1720,15,2176,11,2300,18,1543,12,3995,14,11:39.0
2021.05.13.00,710,7,627,1,1062,6,1108,10,1313,6,1517,11,1806,14,1674,4,1104,11,1277,9,1813,20,1822,8,971,2,1277,10,1457,7,2072,5,1364,7,627,4,1472,9,1708,5,1901,9,1705,12,2165,18,2282,11,1531,16,3980,5,11:39.0
2021.05.12.00,703,1,626,5,1056,7,1098,2,1307,5,1506,7,1792,9,1670,12,1093,9,1268,8,1793,10,1814,8,969,7,1268,0,1450,12,2067,7,1357,11,623,9,1463,12,1703,7,1892,15,1693,14,2147,20,2271,8,1515,7,3974,11,11:39.0
2021.05.12.00,703,1,626,5,1056,7,1098,2,1307,5,1506,7,1792,9,1670,12,1093,9,1268,8,1793,10,1814,8,969,7,1268,0,1450,12,2067,7,1357,11,623,9,1463,12,1703,7,1892,15,1693,14,2147,20,2271,8,1515,7,3974,11,11:39.0
2021.05.11.00,702,0,621,2,1049,4,1096,7,1302,7,1501,11,1783,9,1658,7,1084,13,1260,7,1783,10,1806,7,962,3,1268,3,1438,7,2060,6,1346,3,615,4,1451,7,1696,10,1877,3,1679,6,2127,13,2263,5,1507,5,3961,4,11:39.0
2021.05.10.00,702,0,622,2,1045,3,1089,7,1293,7,1490,8,1774,8,1651,10,1071,4,1253,4,1773,7,1799,11,959,0,1265,4,1431,9,2054,4,1343,1,611,0,1444,1,1686,6,1874,7,1673,6,2113,13,2257,7,1502,9,3958,3,11:39.0
2021.05.09.00,702,3,620,4,1042,1,1082,7,1286,8,1482,6,1766,4,1641,16,1067,8,1249,13,1766,16,1788,8,959,3,1261,10,1422,8,2050,5,1342,4,611,5,1444,4,1680,13,1867,3,1667,8,2100,17,2250,8,1493,5,3954,8,11:39.0
2021.05.08.00,699,1,616,6,1041,3,1075,8,1278,7,1475,13,1762,3,1625,14,1059,15,1236,11,1750,14,1780,15,956,10,1252,5,1414,6,2045,11,1338,2,605,3,1441,5,1667,7,1864,4,1659,6,2083,38,2242,13,1488,12,3946,10,11:39.0
2021.05.07.00,698,0,610,1,1038,3,1067,9,1274,6,1462,4,1759,7,1611,3,1044,14,1225,12,1736,7,1765,15,945,3,1248,2,1408,3,2034,3,1336,13,602,4,1436,11,1660,3,1860,11,1653,6,2045,11,2229,13,1476,6,3933,9,11:39.0
2021.05.06.00,698,2,609,9,1035,10,1058,7,1268,10,1458,8,1752,11,1609,6,1029,8,1213,19,1729,6,1750,7,942,5,1247,2,1405,5,2031,7,1323,4,598,4,1425,10,1657,4,1849,8,1647,14,2034,19,2216,12,1470,6,3923,9,11:39.0
2021.05.05.00,696,2,600,4,1025,9,1050,3,1259,11,1451,19,1740,11,1603,12,1021,6,1194,6,1723,11,1743,10,937,4,1245,12,1400,7,2024,5,1319,2,594,3,1415,12,1653,15,1841,10,1633,10,2015,16,2204,17,1464,8,3914,13,
2021.05.04.00,694,3,596,2,1016,4,1047,5,1248,10,1432,10,1729,9,1591,6,1015,10,1188,2,1712,4,1733,15,933,3,1233,2,1393,4,2019,7,1317,5,591,3,1403,6,1638,9,1831,11,1623,5,1999,18,2187,9,1456,15,3901,7,
2021.05.03.00,691,1,595,3,1012,4,1042,2,1238,6,1422,6,1720,7,1584,6,1005,4,1186,4,1708,13,1718,8,930,2,1231,5,1389,3,2012,5,1312,0,588,2,1398,3,1628,9,1820,2,1618,8,1982,12,2178,7,1441,3,3893,2,
2021.05.02.00,690,3,592,3,1008,6,1040,6,1232,1,1416,11,1713,10,1578,4,1001,1,1182,5,1695,8,1710,4,928,6,1226,1,1386,5,2007,7,1312,2,585,8,1396,6,1619,4,1818,15,1610,13,1970,19,2171,13,1438,11,3891,10,
